Date,Instagram_Minutes,YouTube_Minutes,WhatsApp_Minutes,LinkedIn_Minutes,Reels_Watched,Videos_Watched,Messages_Sent,Posts_Liked,Study_Minutes
2026-08-23,130,164,19,3,168,63,54,100,145
2026-08-24,118,103,52,48,130,41,108,77,144
2026-08-25,146,31,29,39,181,5,47,36,298
2026-08-26,170,99,97,3,183,43,184,69,52
2026-08-27,173,130,68,41,142,34,236,69,128
2026-08-28,74,128,162,31,59,40,342,39,192
2026-08-29,171,154,126,28,178,53,411,96,142
2026-08-30,79,67,177,20,93,23,331,40,34
2026-08-31,60,102,156,19,81,39,455,28,239
2026-09-01,69,174,98,42,93,56,293,64,156
2026-09-02,142,56,134,7,181,9,427,58,178
2026-09-03,71,80,165,15,63,30,336,43,123
2026-09-04,39,27,95,70,50,4,330,29,211
2026-09-05,93,235,154,12,70,80,483,46,48
2026-09-06,72,93,180,24,83,20,541,17,26
2026-09-07,111,194,133,55,149,55,395,38,278
2026-09-08,152,161,159,55,92,43,499,59,184
2026-09-09,166,150,70,58,121,48,242,51,288
2026-09-10,173,111,24,53,135,23,83,38,183
2026-09-11,85,81,114,9,90,20,177,47,303
2026-09-12,71,123,37,11,56,42,74,18,114
2026-09-13,202,111,29,4,189,44,55,85,166
2026-09-14,52,162,163,1,55,71,287,35,243
2026-09-15,105,73,99,39,81,30,340,18,285
2026-09-16,24,194,23,73,26,39,57,17,263
2026-09-17,92,58,32,10,120,25,93,39,61
2026-09-18,180,122,93,68,243,44,233,128,282
2026-09-19,237,203,111,27,166,43,353,38,119
2026-09-20,104,289,29,24,77,120,80,32,18
2026-09-21,162,34,173,74,190,5,511,95,305
